ticker,statement_type,frequency,file,status,rows,columns,date_min,date_max,error
NVDA,income_statement,annual,/Users/pauljacob/Library/CloudStorage/GoogleDrive-pauljacob.datascience1@gmail.com/My Drive/Projects/semiconductor_company_financials_v2/data/annual/income_statement/NVDA_income_statement_annual.csv,success,4,43,2022-01-31 00:00:00,2025-01-31 00:00:00,
NVDA,income_statement,quarterly,/Users/pauljacob/Library/CloudStorage/GoogleDrive-pauljacob.datascience1@gmail.com/My Drive/Projects/semiconductor_company_financials_v2/data/quarterly/income_statement/NVDA_income_statement_quarterly.csv,success,5,39,2024-10-31 00:00:00,2025-10-31 00:00:00,
NVDA,balance_sheet,annual,/Users/pauljacob/Library/CloudStorage/GoogleDrive-pauljacob.datascience1@gmail.com/My Drive/Projects/semiconductor_company_financials_v2/data/annual/balance_sheet/NVDA_balance_sheet_annual.csv,success,4,80,2022-01-31 00:00:00,2025-01-31 00:00:00,
NVDA,balance_sheet,quarterly,/Users/pauljacob/Library/CloudStorage/GoogleDrive-pauljacob.datascience1@gmail.com/My Drive/Projects/semiconductor_company_financials_v2/data/quarterly/balance_sheet/NVDA_balance_sheet_quarterly.csv,success,6,77,2024-07-31 00:00:00,2025-10-31 00:00:00,
NVDA,cash_flow,annual,/Users/pauljacob/Library/CloudStorage/GoogleDrive-pauljacob.datascience1@gmail.com/My Drive/Projects/semiconductor_company_financials_v2/data/annual/cash_flow/NVDA_cash_flow_annual.csv,success,4,56,2022-01-31 00:00:00,2025-01-31 00:00:00,
NVDA,cash_flow,quarterly,/Users/pauljacob/Library/CloudStorage/GoogleDrive-pauljacob.datascience1@gmail.com/My Drive/Projects/semiconductor_company_financials_v2/data/quarterly/cash_flow/NVDA_cash_flow_quarterly.csv,success,5,51,2024-10-31 00:00:00,2025-10-31 00:00:00,
AMD,income_statement,annual,/Users/pauljacob/Library/CloudStorage/GoogleDrive-pauljacob.datascience1@gmail.com/My Drive/Projects/semiconductor_company_financials_v2/data/annual/income_statement/AMD_income_statement_annual.csv,success,5,54,2021-12-31 00:00:00,2025-12-31 00:00:00,
AMD,income_statement,quarterly,/Users/pauljacob/Library/CloudStorage/GoogleDrive-pauljacob.datascience1@gmail.com/My Drive/Projects/semiconductor_company_financials_v2/data/quarterly/income_statement/AMD_income_statement_quarterly.csv,success,7,44,2024-06-30 00:00:00,2025-12-31 00:00:00,
AMD,balance_sheet,annual,/Users/pauljacob/Library/CloudStorage/GoogleDrive-pauljacob.datascience1@gmail.com/My Drive/Projects/semiconductor_company_financials_v2/data/annual/balance_sheet/AMD_balance_sheet_annual.csv,success,5,76,2021-12-31 00:00:00,2025-12-31 00:00:00,
AMD,balance_sheet,quarterly,/Users/pauljacob/Library/CloudStorage/GoogleDrive-pauljacob.datascience1@gmail.com/My Drive/Projects/semiconductor_company_financials_v2/data/quarterly/balance_sheet/AMD_balance_sheet_quarterly.csv,success,7,69,2024-06-30 00:00:00,2025-12-31 00:00:00,
AMD,cash_flow,annual,/Users/pauljacob/Library/CloudStorage/GoogleDrive-pauljacob.datascience1@gmail.com/My Drive/Projects/semiconductor_company_financials_v2/data/annual/cash_flow/AMD_cash_flow_annual.csv,success,5,61,2021-12-31 00:00:00,2025-12-31 00:00:00,
